Page url,Poster,Name,Organizer,Description,Category,Highlights,Refund Policy,Address,Price,Date & Time
https://www.eventbrite.com/e/chch-presents-spotlight-on-tuscany-with-collette-tickets-1980384949695?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174634334%2F2098873513703%2F1%2Foriginal.20260112-163307?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.509&fp-y=0.304&s=7c495420e52c1a027e18e7f37aec14ac,CHCH Presents: Spotlight on Tuscany with Collette,Direct Travel,"Meet & greet with Brian Wood, then explore Collette's Spotlight on Tuscany (Oct 10-18, 2026) at CHCH on Feb 26, 6-7:30pm.CHCH Presents: Spotlight on Tuscany invites you to an inspiring evening of Italian travel, culture, and connection. Begin with a special meet & greet with Brian Wood, followed by an engaging presentation featuring Collette's Spotlight on Tuscanyïa thoughtfully designed journey through one of Italy's most beloved regions.Discover what makes this October 10-18, 2026 experience so unforgettable, with highlights including Montecatini Terme, Lucca, Florence, Pisa, San Gimignano, a family-owned winery visit, a hands-on cooking class, and a local cheese farm experience. After the presentation, enjoy time to mingle, ask questions, and register for the trip before the evening wraps up.","Category: Travel & Outdoor, Travel","1 hour 30 minutes,In person",,"4 Innovation Dr4 Innovation DriveHamilton, ON L9H 7P3 Canada",Free,Feb 26   from 6:00 PM EST
https://www.eventbrite.ca/e/acute-care-of-at-risk-newborns-acorn-provider-feb-24-25-tickets-1981873529076?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F870622169%2F71276329041%2F1%2Foriginal.20241007-152659?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C5%2C680%2C340&s=47f6d288526fad0387ef21f7f1f16703,Acute Care of at-Risk Newborns (ACoRN) Provider - FEB 24 &25,McMaster Children's Hospital Simulation & Outreach,"Learn how to care for at-risk newborns in our ACoRN Provider CourseACoRN Provider 2 Day CourseThe Acute Care of at-Risk Newborns (ACoRN) program is designed to review and teach neonatal stabilization in a systematic approach. It supports a multidisciplinary team to identify and care for babies who become unwell or are at risk of becoming unwell in the first few hours or days after birth.EligibilityAny health care provider expected toIdentify or care for at-risk or unwell babies in a perinatal setting.participate in neonatal stabilization as a part of their professional roleRequired Materials******The course tuition does not include the textbook or the online exam fee.Please use the following links to purchase materials and to access the online exam:CPS CPS ACoRN Online exam - ACoRN online examCPS ACoRN Essential Guide - ACoRN: The Essential Guide (with laminated sequences)Pre RequisitesHave current NRP provider status.Complete required pre-reading. Each provider should have their own ACoRN: The Essential Guide (with laminated sequences)Successfully complete the ACoRN online exam within 30 days of the courseBring a Paper Copy of your ACoRN Online Exam Certificate of Completion on the second day of the courseSiROC Cancellation PolicyThe SiROC Cancellation Policy applies to this course. Requests for transfer, substitution, or refund will be assessed on a case-by-case basis. Please provide any documentation to support your request.

Course Substitution & Transfer:
If you cannot attend the course, you may substitute your registration to a colleague at no additional charge. Please email outreach@hhsc.ca with your name and the name of the colleague who will be taking the course in your place. Your replacement must meet the prerequisites for the course.

To transfer to an alternate course date, please email outreach@hhsc.ca with the date of the course you wish to transfer into. You may transfer your registration to an alternate date up to two weeks before the start date of the course you are transfering out of.

Only substitutions will be granted less than two weeks prior to the course start date.

Course Refund:
Refund requests will be assessed on a case-by-case basis and depend on the date of the request. Please use the Eventbrite registration system to request a course refund. You can manage your registration at www.eventbrite.ca/mytickets.Please note that a registration processing fee was paid to Eventbrite and is subject to their refund policy. The following refund policy applies:

- More than 3 weeks before the course start date = 100% of tuition will be refunded.
- Between 2-3 weeks before the course start date = 75% of tuition will be refunded.
- Between 1-2 weeks before the course start date = 50% of tuition will be refunded.
- Within one week of the course start date = No refund. If you cannot attend the course, you may transfer your registration to a colleague at no additional charge.

No refunds will be given for ""no-shows.""

SiROC reserves the right to cancel or reschedule the course due to unforeseen circumstances. If this happens, you will be rescheduled to the next available session and given the option to choose from future classes if the rescheduled date does not work for you. No refunds will be issued.","Category: Health, Medical","1 day 8 hours,In person",Refunds up to 9 days before event,"McMaster Children's Hospital - Hamilton Health Sciences1200 Main Street WestHamilton, ON L8N 3Z5 Canada",CA$443.31,Feb 24   from 8:30 AM EST
https://www.eventbrite.ca/e/paint-nite-art-event-in-hamilton-fun-creative-event-paint-party-tickets-1227079560999?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1081580923%2F524461906351%2F1%2Foriginal.20250725-220719?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C0%2C1544%2C772&s=a2cb8bd54e81c9d8a471ac27b26f1166,Paint Nite  Art Event in Hamilton. Fun creative event. Paint Party.,York Art Studio,"Develop Artistic skills and have fun in a beginner friendly, painting creative workshop. Suitable for friends, family, couples, office groupDrawing Painting Event for individuals or groups. Join us for a relaxing paint night. No prior painting experience is needed. Looking to do something on a date night, girls night out, birthday party, team building, co-workers hanging out, friends and family bonding? Come and join in for a most incredible creative experience.Location: York Art Studio, HamiltonWhats included?Acrylic painting guidance from an experienced instructorAll painting materials are includedEnjoy a elaxing and social atmosphere with great vibesSnacks and non alcoholic drinks included.
Have lots of fun and learn at York Art Studio, a Studio and Gallery of experienced award winning Artist Pamela Dey with teaching experience in Toronto, Oakville and Hamilton.Contact information:email: pameladeypaintings@gmail.comwebsite: http://www.yorkartstudio.bigcartel.com
SMS 4379253701Instagram @pameladeyartCheck out reviews on Google Map Reviews for York Art Studio - Google Maps
This event requires purchase of 2 tickets minimum. If you just want 1 ticket please contact me directly.","Category: Hobbies, Drawing & Painting","ages 12+,In person,Free parking",Refunds up to 7 days before event,"York Art Studio90 Pleasant AvenueHamilton, ON L9C 4M7 Canada",CA$95.00,"Feb 6,7,13,14,15,20,21,27,28 from 7:00 pm - 9:00 pm EST"
https://www.eventbrite.ca/e/truffle-making-101-hamilton-location-tickets-53824897718?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F332312119%2F34771446166%2F1%2Foriginal.20181217-191809?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C119%2C750%2C375&s=c29f346fa154db9114eda5f4015feeb1,Truffle Making 101 (Hamilton Location),Chocolate Tales,"Discover and learn the secret of Truffle Making!Come and enjoy our chocolate truffle-making workshop and become a truffle master! Suitable for anyone, this class will share with you the techniques, tips and tricks of chocolate truffle making including how to personalize your own creations for any occasion! This brilliant class will also teach you how to work with different types of chocolates and other delicious ingredients. Take away 20+ of your very own homemade truffles! Join us for some hands-on truffle-making fun!Duration: 90 minutes","Category: Food & Drink, Beer",In person,No refunds,"Chocolate Tales - Hamilton Chocolate Making Studio430 York BoulevardHamilton, ON L8R 3K8 Canada",$76.84,Feb 27   from 6:00 PM EST
https://www.eventbrite.ca/e/classic-chocolate-making-workshop-hamilton-tickets-866992707527?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F723672149%2F34771446166%2F1%2Foriginal.20240320-000617?w=600&auto=format%2Ccompress&q=75&sharp=10&s=f2f3ed989245b98aa6719b91f82a51bf,Classic Chocolate Making Workshop (Hamilton),Chocolate Tales,"Get first hand experience making amazing chocolates!Our classic chocolate making workshop is ideal for excited beginners and any chocolate lover wanting a hands- on introduction into the world of chocolate making! We share with you the unique history of chocolate and chocolate making and pass the tradition onto you by teaching you how to make your own gourmet chocolate treats¶ roll up your sleeves, it's time to get crafty!ProgramHistory of ChocolateChocolate TastingTempering & Molding DemonstrationTruffle Making & DecoratingLava Cake DecoratingTruffle Box Take HomeClick here to watch this workshop in action!","Category: Food & Drink, Food",In person,No refunds,"Chocolate Tales - Hamilton Chocolate Making Studio, Classes, Team Building, Birthday Parties430 York BoulevardHamilton, ON L8R 3K8 Canada",CA$68.00,"Feb 8,22 from 4:00 pm - 5:30 pm EST"
https://www.eventbrite.ca/e/chocolate-masterclass-hamilton-location-tickets-53830370086?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F721919629%2F34771446166%2F1%2Foriginal.20240318-083715?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C106%2C5712%2C2856&s=be508d1ee9f066cde16f342cc801b253,Chocolate Masterclass (Hamilton Location),Chocolate Tales,"You bring your imagination, we bring our expertise!AboutWelcome to our Chocolate Masterclass! In this hands-on workshop, you'll master the art of decorating bonbons and truffles using edible cocoa decorating techniques. Perfect for beginners and experienced chocolatiers alike.What You'll Learn:Chocolate BasicsIntroduction to chocolate types and temperingBonbon MakingCreating smooth, shiny chocolate shellsDecorating TechniquesUsing cocoa butter colors, powders, and tools like molds and piping bagsCrafting intricate designsHands-on PracticeTake-Home Packaging: A bag of your own beautifully decorated chocolates.Join us for a fun and creative class, and learn how to make stunning chocolate creations!Duration: 2 Hours
Click here to watch this workshop in action!","Category: Food & Drink, Food",In person,No refunds,"Chocolate Tales - Hamilton Chocolate Making Studio430 York BoulevardHamilton, ON L8R 3K8 Canada",CA$88.14,"Feb 8,22 from 11:00 am - 1:00 pm EST"
https://www.eventbrite.ca/e/25th-february-paint-night-at-boston-pizza-waterdown-tickets-1981456007257?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1111128233%2F242273636570%2F1%2Foriginal.20250902-012651?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C382%2C4080%2C2040&s=a41b7d31a13e8d6275b2452778c4413c,"25th February Paint Night at Boston Pizza, Waterdown",Artfully You,"Super easy step by step painting class at Boston Pizza, WaterdownA fabulous night of painting with local artist Julie Wurtele and Artfully You. A different painting every time, come on out for an amazing, paint party! No experience necessary Julie will guide you through all the steps to go from blank canvas to masterpiece. Come out early to BOSTON PIZZA, WATERDOWN for a bite to eat and make a night of it! We recommend you arrive an hour early to get a good table and enjoy your food before you paint. Artfully You events are a great way to relax, have fun, connect and create where there are no mistakes, only happy accidents!","Category: Hobbies, Drawing & Painting","2 hours,In person",Refunds up to 7 days before event,"Boston Pizza Waterdown4 Horseshoe CrescentHamilton, ON L8B 0Y2 Canada",$38.95,Feb 25   from 7:00 PM EST
https://www.eventbrite.ca/e/hamilton-all-star-jazz-band-presents-big-band-classics-tickets-1815633040299?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1152026503%2F283976872971%2F1%2Foriginal.20251013-173508?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=43040edd884c3a27d2ce137537e2c986,Hamilton All Star Jazz Band presents: Big Band Classics,Hamilton All Star Jazz Bands,"Enjoy the best of classic big band repertoire in our intimate black-box theatre.The Hamilton All Star Jazz Band takes to the stage performing familiar favourites from the big band era, including music popularized by Count Basie, Duke Ellington, Glenn Miller, and more.","Category: Arts, Orchestra",In person,No refunds,"The Old Firehall334 Wilson Street EastAncaster, ON L9G 2C2 Canada",CA$22.83,Feb 27   from 7:00 PM EST AND Feb 28  from 2:00 PM EST
https://www.eventbrite.ca/e/foes-show-aquanova-brewing-co-stand-up-comedy-show-tickets-1981261638896?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175504345%2F1174850061953%2F1%2Foriginal.20260121-233648?w=600&auto=format%2Ccompress&q=75&sharp=10&s=5c9e458a716176bb9fada74f35f552d4,Foe's Show @Aquanova Brewing Co. | Stand-Up Comedy Show,Trevor Curle,"Foe's Show takes the stage in an unforgettable night at Aquanova Brewing Co.									 2 Drinks Included w/ ComedyFoe's Show Returns!!Join us for a hilarious evening hosted by Trevor Curle aka FriendORFoeFeaturing a lineup of Foes friends bringing their best comedic material on a Monday night!Looking for a fun night out? Join Us!Each Ticket Includes 2 Drink Tickets (Alcoholic Or Non-Alcoholic)Foe's Show is your perfect excuse to grab a drink and let loose at Aquanova Brewing Co.When: Feb 27th 2026Where: 67 Frid St. Unit 13 - Aquanova Brewing Co.Time: 7PM Doors / 730PM Start","Category: Arts, Comedy","1 hour 30 minutes,ages 19+,In person,Free parking,Doors at 7:00 PM",Refunds up to 7 days before event,"67 Frid St unit 1367 Frid Street#unit 13 Hamilton, ON L8P 4M3 Canada",CA$15,Feb 27   from 7:30 PM EST
https://www.eventbrite.ca/e/yoga-nidra-with-dizzy-tickets-1981605749139?aff=ebdssbdestsearch,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175882894%2F2419229571781%2F1%2Foriginal.20260126-210010?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C614%2C1544%2C772&s=175973b5eae5a0b147cdc199e089834f,Yoga Nidra with Dizzy,apothe-ka,"Come join us at the beautiful Apothe.ka and Cocoon Feb. 27th.Reset your Nervous System.
You deserve the gift of calm. Join us for a 1 hour Yoga Nidra Session designed to help you rest, reset, and return to your baseline.
Mini Sound and vibration Bath will follow the Yoga Nidra practice.","Category: Health, Personal health","2 hours,In person,Free parking",Refunds up to 7 days before event,"apothe.ka78 Highway 8Hamilton, ON L9H 4V4 Canada",CA$50,Feb 27   from 7:00 PM EST
