Page url,Poster,Name,Organizer,Description,Category,Highlights,Refund Policy,Address,Price,Date & Time
https://www.eventbrite.ca/e/the-dance-playground-flow-space-tickets-1980936661881,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177090329%2F1459302276183%2F1%2Foriginal.20260209-191009?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=161%2C595%2C1460%2C730&s=bd48351bff6633a9074e42f8f23da9eb,The Dance Playground: Flow Space,Hamilton Hollistic Hub,Tap into your playful energy and let loose at our sober/ conscious dance party and practice - The Dance Playground: Flow Space,"Arts, Dance","Free parking, 4 hours, all ages, In person, Doors at 7:00 PM",Refunds up to 7 days before event,"270 Sherman Avenue North, Hamilton, ON L8L 6N4, Canada",CAD 27.96 - CAD 43.93,Mar 6 at 7:00 PM EST
https://www.eventbrite.ca/e/anastasia-tickets-1981372219646,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176334810%2F292446794279%2F1%2Foriginal.20260131-174838?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=74449530f373995c6bb8753a3e51ee69,Anastasia,Curtain Call Productions,Anastasia is a musical about a young woman searching for her true identity as she journeys from post-revolutionary Russia to Paris.,"Arts, Musical","Free parking, 2 days 3 hours, all ages, In person",No Refunds,"390 Gordon St., Guelph, ON N1G2W1, Canada",CAD 0.0 - CAD 27.96,Mar 20 at 7:00 PM EDT
https://www.eventbrite.ca/e/gcw-burlington-march-22nd-live-wrestling-tickets-1978978889130,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174761679%2F2986747338080%2F1%2Foriginal.20260113-185027?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C433%2C2000%2C1000&s=96323ae3727156a4f386ee3f759fca22,GCW : Burlington : March 22nd : LIVE WRESTLING,Pop Culture Canada,LIVE WRESTLING COMES TO YOUR TOWN !,"Film & Media, TV","2 hours 30 minutes, In person",No Refunds,"471 Pearl Street, Burlington, ON L7R 4M4, Canada",25.07 CAD - 72.99 CAD,Mar 22 at 6:00 PM EDT
https://www.eventbrite.ca/e/the-2026-canadian-community-psychology-conference-tickets-1786127207559,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172205163%2F2984730404689%2F1%2Foriginal.20251203-022523?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C140%2C2240%2C1120&s=e3d317eccdc43b1e245fec47e1716f5e,The 2026 Canadian Community Psychology Conference,"Centre for Community Research, Learning and Action","Join us for The 2026 Canadian Community Psychology Conference hosted at Wilfrid Laurier University from May 21-23, 2026!","Community, Other","Paid parking, Parking available, all ages, In person",Refunds up to 7 days before event,"75 University Avenue West, Waterloo, ON N2L 3C5, Canada",263.00 CAD - 79.26 CAD,Apr 27 at 11:59 PM
https://www.eventbrite.ca/e/save-the-dates-buzz-conference-2027-tickets-1982436257211,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176874774%2F68329440213%2F1%2Foriginal.20260206-143616?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C31%2C1004%2C502&s=410415250a6d54e534efc97ccc2f2c5d,SAVE THE DATES - BUZZ CONFERENCE 2027,The Buzz Conference,"The New Frontier is here, this is the room to be in, visit www.instagram.com/thebuzzconference and feel the vibe of 2026.","Business, Real Estate","20 hours 30 minutes, In person",Refunds up to 7 days before event,"75 Derry Road West, Mississauga, ON L5W 1N5, Canada",361.34 CAD,Feb 3 at 7:30 AM EST
https://www.eventbrite.com/e/capm-certification-weekend-classroom-training-in-rockwood-co-tickets-1969866158708,https://cdn.evbuc.com/images/1170677724/2958041386231/1/logo.20251111-113452,"CAPM Certification Weekend Classroom Training in Rockwood, CO",iCertGlobal,Pass your CAPM exam on the first try! Join our expert-led CAPM Certification Bootcamp and launch your project management career.,,,Refunds up to 7 days before event,"73 Water Street North, Cambridge, ON N1R 7L6, Canada",1919.52 USD,Feb 21 at 9:00 AM
https://www.eventbrite.ca/e/womenuptm-ai-workshop-stop-posting-start-capturing-leads-you-actually-own-tickets-1980506984705,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175717101%2F514328608345%2F1%2Foriginal.20260124-144731?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=326d8e94a34f8eaf56a2f924c560ae6b,WomenUp™ AI Workshop— Stop posting. Start capturing leads you actually own.,WomenUp,Build your lead magnet. Set up lead capture. Launch it online. Leverage AI to turn visibility into qualified leads — fast.,"Business, Career","Free parking, 2 hours 30 minutes, all ages, In person, Doors at 11:55 AM",No Refunds,"901 Guelph Line, Burlington, ON L7R 3N8, Canada",CAD 67.0,Feb 20 at 12:00 PM EST
https://www.eventbrite.com/e/in-person-free-robotics-workshop-for-kids-at-milton-on-7-14-yrs-tickets-1981921379197,https://cdn.evbuc.com/images/1176140659/1077516986593/1/logo.20260129-073943,"In-Person Free Robotics Workshop For Kids at Milton, ON (7-14 yrs)",Moonpreneur,"Let your child dive into the excitement of a free coding workshop by Moonpreneur on 22nd February,11:00 AM EST.","Science & Tech, Robotics","7 hours, In person",Refunds up to 7 days before event,"161 Chisholm Drive, Milton, ON L9T 4A6, Canada",Free,Feb 22 at 11:00 AM EST
https://www.eventbrite.com/e/in-person-free-coding-workshop-for-kids-at-milton-on-7-14-yrs-tickets-1981922276882,https://cdn.evbuc.com/images/1176141780/1077516986593/1/logo.20260129-082403,"In-Person Free Coding Workshop For Kids at Milton, ON (7-14 yrs)",Moonpreneur,"Let your child dive into the excitement of a free coding workshop by Moonpreneur on 22nd February,11:00 AM EST.","Science & Tech, Robotics","7 hours, In person",Refunds up to 7 days before event,"161 Chisholm Drive, Milton, ON L9T 4A6, Canada",Free,Feb 22 at 11:00 AM EST
https://www.eventbrite.ca/e/ai-day-with-toyota-tour-train-transform-lean-white-belt-certification-tickets-1981599329939,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175874002%2F91003281809%2F1%2Foriginal.20260126-194421?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=29c258fb6439b4df2ac14b1f4a5b4498,"AI Day with Toyota: Tour, Train, Transform & LEAN White Belt Certification",Ontario Association of Certified Engineering Technicians and Technologists,"Unlock Lean Thinking with a Toyota Manufacturing (Cambridge) Gemba tour, Toy Car Flow Simulation, White Belt Certification, AI-powered tools","Science & Tech, Other","8 hours 30 minutes, In person",Refunds up to 7 days before event,"1055 Fountain Street North Gate 1, Cambridge, ON N3H 4R7, Canada",143.84 CAD - 179.52 CAD,Mar 11 at 8:30 AM EDT
