Page url,Poster,Name,Organizer,Description,Category,Highlights,Refund Policy,Address,Price,Date & Time
https://www.eventbrite.ca/e/soupfest-tickets-1975354635891,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171676650%2F51735374208%2F1%2Foriginal.20251124-211724?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C121%2C1274%2C637&s=5dbaf022ac710e9500b447b4b5640614,Soupfest,Living Rock Ministries,"Support Hamilton youth while sampling the best soups from local restaurants — a Souper- fun, flavour-packed community event!","Food & Drink, Food","Paid parking, Parking available, 7 hours 30 minutes, under 16 with parent or legal guardian, In person, Doors at 11:15 AM",No Refunds,"1 Summers Lane, Hamilton, ON L8P 4Y2, Canada",CAD 22.63 - CAD 49.26,Feb 24 at 11:30 AM EST
https://www.eventbrite.com/e/fever-dream-with-dj-nicholas-picholas-tickets-1981596052135,https://cdn.evbuc.com/images/1175864639/1899067332883/1/logo.20260126-182548,FEVER DREAM with DJ NICHOLAS PICHOLAS,This Is Ridiculous Inc.,"A night of Alternative 90s and millenium classics from the pit of Fever. From Rage to Ride, NIN to Pulp @ RIDICULOUS, 38 King William St","Music, DJ/Dance","3 hours 59 minutes, In person",No Refunds,"38 King William Street, Hamilton, ON L8N 1B3, Canada",CAD 22.63,Feb 28 at 8:00 PM EST
https://www.eventbrite.ca/e/ancaster-soft-vibes-sparkly-things-holistic-healing-fairtm-tickets-1715913867569,https://cdn.evbuc.com/images/1172279100/335575615405/1/logo.20251204-003612,ANCASTER - SOFT VIBES & SPARKLY THINGS HOLISTIC HEALING FAIR™,Holistic Healing Fair™,"Step into soft vibes, sparkly energy, and all things wellness at the Ancaster Holistic Healing Fair™.","Health, Personal health","Free parking, 6 hours, all ages, In person",Refunds up to 7 days before event,"630 Trinity Road South, Hamilton, ON L0R 1R0, Canada",Donation,Mar 1 at 10:00 AM EST
https://www.eventbrite.ca/e/kate-quinn-and-janie-chang-in-conversation-tickets-1981858022696,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177101185%2F241698097804%2F1%2Foriginal.20260209-203841?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C33%2C1920%2C960&s=4ea87b45adbdb891f706e1450b947fba,Kate Quinn and Janie Chang in Conversation,Hamilton Literary Festival Association,gritLIT is pleased to welcome Kate Quinn and Janie Chang to the First Unitarian Church of Hamilton.,"Arts, Literary Arts",In person,Refunds up to 7 days before event,"170 Dundurn Street South, Hamilton, ON L8P 4K3, Canada",17.55 CAD,Mar 7 at 1:00 PM EST
https://www.eventbrite.com/e/ancient-shapes-at-corktown-tickets-1927620337319,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1166974403%2F2174542756383%2F1%2Foriginal.20251031-014144?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1080%2C540&s=633b7b8c0a0d222b6a6b0bd0ae8d7bc6,ANCIENT SHAPES AT CORKTOWN,INTO THE ABYSS RECORDS,"*VENUE CHANGE* ANCIENT SHAPES play Hamilton for the first time in a long time. MOD LANG joins them for this tour, and they are rad.","Music, Rock","3 hours, In person",Refunds up to 7 days before event,"175 Young Street, Hamilton, ON L8N 1V7, Canada",CAD 22.63,Feb 26 at 8:00 PM EST
https://www.eventbrite.ca/e/steve-strongman-march-1-at-the-shed-tickets-1969838692556,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1170897186%2F690348627453%2F1%2Foriginal.20251113-173507?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=5997451b9d27a7094797cbc5de76494e,STEVE STRONGMAN March 1 at The SHED!,Shawn & Ed Brewing Co,MARCH `1! Don't miss JUNO AWARD WINNING musician Steve Strongman at Shawn & Ed Brewing Co.,"Music, Blues & Jazz","2 hours, In person",Refunds up to 7 days before event,"65 Hatt Street, Hamilton, ON L9H 0C1, Canada",CAD 30.0,Mar 1 at 1:00 PM EST
https://www.eventbrite.ca/e/lost-faculty-album-release-show-w-kasador-bbq-pope-tickets-1978174012723,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173078380%2F1705870505933%2F1%2Foriginal.20251216-185257?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C1007%2C1996%2C998&s=cc47667239107d6eef0baa01bdca684f,Lost Faculty Album Release Show w/ Kasador & BBQ Pope,Lost Faculty,Lost Faculty celebrates the release of their debut album in their hometown with Kasador and BBQ Pope at Corktown (Upstairs).,"Music, Indie","3 hours 30 minutes, ages 19+, In person",Refunds up to 7 days before event,"175 Young Street, Hamilton, ON L8N 1V7, Canada",CAD 17.55 - CAD 22.9,Mar 6 at 8:00 PM EST
https://www.eventbrite.ca/e/the-compassionate-self-using-mindfulness-to-discover-the-joy-within-tickets-1980407204259,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174651994%2F158174638791%2F1%2Foriginal.20260112-190643?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=9cfa4d49ae3898237b8ecbdbcd08f5f9,The Compassionate Self: Using Mindfulness to Discover the Joy Within,Mindfulness Hamilton,We invite you to join this interactive day long workshop focused on building self-compassion skills.,"Health, Personal health","7 hours, In person",Refunds up to 1 day before event,"2 Bond Street North, Hamilton, ON L8S 3W1, Canada",CAD 50.0 - CAD 110.0,Feb 21 at 9:00 AM EST
https://www.eventbrite.ca/e/st-patricks-day-concert-with-celtic-effect-at-the-shed-tickets-1969828735775,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1170894989%2F690348627453%2F1%2Foriginal.20251113-171240?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=a620c6f63c933b2e8c80eab171b8c5dd,St. Patrick's Day Concert with CELTIC EFFECT at The SHED,Shawn & Ed Brewing Co,MARCH 17 - Celebrate St. Patrick's Day with Live Music at Shawn & Ed Brewing Co.! Don't miss CELTIC EFFECT!,"Arts, Musical","3 hours, In person",Refunds up to 7 days before event,"65 Hatt St, Hamilton, ON L9H 0C1, Canada",CAD 11.3,Mar 17 at 6:00 PM EDT
https://www.eventbrite.ca/e/80s-gone-wild-epic-debut-at-ridiculous-hamilton-ontario-tickets-1980155743132,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1142101793%2F1518597396763%2F1%2Foriginal.20251002-011434?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C41%2C3300%2C1650&s=e6abfc1f3e4419274a28000956961178,"80s GONE WILD - Epic Debut at Ridiculous - Hamilton, Ontario",ATN Productions,"80s GONE WILD makes their big debut at Ridiculous: Hamilton, Ontario's newest live venue on Feb. 21, 2026.","Music, Rock",In person,No Refunds,"38 King William Street, Hamilton, ON L8N 1B3, Canada",CAD 22.63,Feb 21 at 9:00 PM EST
